Party,Votes,Votes %,Votes - Overseas,Votes % - Overseas
League,"5,698,687",17.35,"240,072",21.43
Forza Italia,"4,596,956",14,0,0
Brothers of Italy,"1,429,550",4.35,0,0
Us with Italy–UDC,"427,152",1.3,"11,845",1.09
Five Star Movement,"10,732,066",32.68,"197,346",17.57
Democratic Party,"6,161,896",18.76,"297,153",26.45
More Europe,"841,468",2.56,"64,350",5.73
Together,"190,601",0.58,0,0
Popular Civic List,"178,107",0.54,32.071,2.85
SVP–PATT,"134,651",0.41,0,0
Free and Equal,"1,114,799",3.38,"64,523",5.74
Associative Movement of Italians Abroad,0,0,"107,236",9.55
South American Union of Italian Emigrants,0,0,"68,291",6.08
